date,open,high,low,close,volume,is_anomaly,ticker
2025-03-07,20.02,20.02,20.02,20.02,1584522,False,BFAGRO
2025-03-10,22.02,22.02,22.02,22.02,38928,False,BFAGRO
2025-03-11,24.22,24.22,24.22,24.22,41405,False,BFAGRO
2025-03-12,26.64,26.64,26.64,26.64,4468001,False,BFAGRO
2025-03-13,29.0,29.25,27.1,28.4,24680233,False,BFAGRO
2025-03-14,28.4,30.0,28.05,29.48,9717375,False,BFAGRO
2025-03-17,29.5,29.5,27.05,27.54,7596593,False,BFAGRO
2025-03-18,27.4,28.74,26.75,27.52,10258343,False,BFAGRO
2025-03-19,27.9,28.26,27.4,27.55,2693230,False,BFAGRO
2025-03-20,27.54,28.35,27.3,27.77,3791460,False,BFAGRO
2025-03-21,27.83,27.83,27.18,27.3,708805,False,BFAGRO
2025-03-24,27.3,27.4,26.75,26.98,1867083,False,BFAGRO
2025-03-25,27.02,27.1,25.51,25.9,2624228,False,BFAGRO
2025-03-26,26.1,26.64,26.1,26.25,919693,False,BFAGRO
2025-03-27,26.26,26.5,25.99,26.05,475811,False,BFAGRO
2025-04-03,26.0,26.74,25.95,26.13,2571625,False,BFAGRO
2025-04-04,26.19,26.19,25.07,25.29,1293836,False,BFAGRO
2025-04-07,25.05,25.06,22.76,24.0,3754722,False,BFAGRO
2025-04-08,23.55,25.0,23.55,24.76,674619,False,BFAGRO
2025-04-09,24.51,24.69,23.88,24.2,490517,False,BFAGRO
2025-04-10,24.9,26.13,24.6,24.77,2094925,False,BFAGRO
2025-04-11,24.7,25.25,24.2,24.93,611734,False,BFAGRO
2025-04-14,25.01,27.42,25.01,27.42,4374632,False,BFAGRO
2025-04-15,28.0,28.61,26.8,27.12,5047752,False,BFAGRO
2025-04-16,27.1,27.5,26.56,26.71,1463493,False,BFAGRO
2025-04-17,26.75,26.95,26.51,26.6,286664,False,BFAGRO
2025-04-18,26.58,28.8,26.1,28.08,5411885,False,BFAGRO
2025-04-21,28.9,29.98,28.63,29.26,6796752,False,BFAGRO
2025-04-22,29.31,32.19,28.45,32.19,12092164,False,BFAGRO
2025-04-23,32.8,34.73,31.27,32.35,16119243,False,BFAGRO
2025-04-24,30.76,31.86,29.6,30.17,5988007,False,BFAGRO
2025-04-25,30.15,31.1,28.58,29.08,2955711,False,BFAGRO
2025-04-28,29.3,29.75,26.6,26.9,3547428,False,BFAGRO
2025-04-29,26.66,29.14,26.66,28.61,3541309,False,BFAGRO
2025-04-30,28.3,28.3,26.4,27.01,2714063,False,BFAGRO
2025-05-02,27.6,28.74,27.6,27.98,1526874,False,BFAGRO
2025-05-05,28.3,28.74,27.6,28.52,1168827,False,BFAGRO
2025-05-06,29.0,29.5,28.5,28.79,2330838,False,BFAGRO
2025-05-07,26.04,28.24,26.04,27.13,2896610,False,BFAGRO
2025-05-08,27.31,28.24,24.42,24.99,2077568,False,BFAGRO
2025-05-09,24.81,26.69,24.1,26.42,1387044,False,BFAGRO
2025-05-12,29.06,29.06,29.0,29.06,988881,False,BFAGRO
2025-05-13,31.0,31.0,28.46,28.63,2823558,False,BFAGRO
2025-05-14,28.88,29.9,28.3,28.64,4747186,False,BFAGRO
2025-05-15,28.97,29.43,28.51,28.74,2381344,False,BFAGRO
2025-05-16,29.0,29.33,28.45,28.64,1975714,False,BFAGRO
2025-05-19,28.78,29.68,28.32,28.78,2781737,False,BFAGRO
2025-05-20,28.65,29.48,28.58,28.99,2376729,False,BFAGRO
2025-05-21,29.0,29.35,28.8,28.93,1833950,False,BFAGRO
2025-05-22,29.08,29.6,28.5,28.79,3835149,False,BFAGRO
2025-05-23,28.73,29.0,28.6,28.68,730725,False,BFAGRO
