date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,16.75,16.75,16.75,16.75,3000,False,ORIXM
2021-04-27,16.72,16.72,16.01,16.49,66000,False,ORIXM
2021-04-28,16.5,16.55,16.4,16.41,11500,False,ORIXM
2021-04-29,16.45,16.45,16.01,16.39,61500,False,ORIXM
2021-04-30,16.45,16.45,16.41,16.44,4500,False,ORIXM
2021-05-04,16.5,16.5,16.48,16.48,3500,False,ORIXM
2021-05-05,16.5,16.5,16.21,16.44,19500,False,ORIXM
2021-05-06,16.45,16.8,16.3,16.8,29500,False,ORIXM
2021-05-17,16.99,17.1,16.8,16.8,23000,False,ORIXM
2021-05-18,16.85,16.9,16.74,16.8,7000,False,ORIXM
2021-05-19,16.8,16.8,16.45,16.49,90500,False,ORIXM
2021-05-20,16.51,16.79,16.51,16.55,106500,False,ORIXM
2021-05-21,16.84,16.85,16.7,16.72,8000,False,ORIXM
2021-05-24,16.95,16.97,16.8,16.8,3000,False,ORIXM
2021-05-25,16.61,16.94,16.61,16.94,3500,False,ORIXM
2021-05-26,16.98,17.0,16.56,16.66,30500,False,ORIXM
2021-05-27,16.87,17.0,16.3,17.0,21000,False,ORIXM
2021-05-28,17.24,17.25,16.76,17.12,5500,False,ORIXM
2021-05-31,17.05,17.23,16.99,16.99,54500,False,ORIXM
2021-06-01,17.0,17.0,17.0,17.0,1000,False,ORIXM
2021-06-02,16.81,17.22,16.8,16.97,11500,False,ORIXM
2021-06-03,17.18,17.18,17.0,17.0,46500,False,ORIXM
2021-06-04,17.2,17.24,17.2,17.24,4500,False,ORIXM
2021-06-07,17.01,17.29,17.0,17.28,22000,False,ORIXM
2021-06-08,17.3,17.3,17.01,17.07,6500,False,ORIXM
2021-06-09,17.25,17.25,17.16,17.16,1500,False,ORIXM
2021-06-10,17.02,17.29,17.0,17.02,51500,False,ORIXM
2021-06-11,17.3,17.3,17.15,17.15,6000,False,ORIXM
2021-06-14,17.15,17.2,17.15,17.2,17500,False,ORIXM
2021-06-15,17.01,17.2,17.0,17.05,26000,False,ORIXM
2021-06-16,17.14,17.2,17.14,17.18,7000,False,ORIXM
2021-06-17,17.18,18.46,17.1,17.39,74500,False,ORIXM
2021-06-18,17.6,17.63,17.3,17.55,14000,False,ORIXM
2021-06-21,17.4,17.4,17.36,17.37,14500,False,ORIXM
2021-06-22,17.35,17.35,17.35,17.35,1000,False,ORIXM
2021-06-23,17.37,17.68,17.37,17.65,20500,False,ORIXM
2021-06-24,17.21,17.65,17.21,17.5,4500,False,ORIXM
2021-06-25,17.5,17.5,17.25,17.25,8000,False,ORIXM
2021-06-28,17.32,17.32,17.28,17.28,2000,False,ORIXM
2021-06-29,17.3,17.3,17.25,17.25,2000,False,ORIXM
2021-06-30,17.26,17.5,17.01,17.5,7000,False,ORIXM
2021-07-01,17.77,17.77,17.3,17.3,8000,False,ORIXM
2021-07-02,17.31,17.31,17.3,17.3,1000,False,ORIXM
2021-07-05,17.6,17.6,17.5,17.5,2000,False,ORIXM
2021-07-06,17.25,17.47,17.2,17.47,8000,False,ORIXM
2021-07-07,17.59,17.6,17.25,17.27,18000,False,ORIXM
2021-07-08,17.21,17.89,17.1,17.89,9500,False,ORIXM
2021-07-09,17.26,17.8,17.26,17.7,4500,False,ORIXM
2021-07-12,17.5,17.7,17.36,17.42,10500,False,ORIXM
2021-07-13,17.5,17.5,17.5,17.5,1500,False,ORIXM
2021-07-14,17.54,17.54,17.5,17.5,6000,False,ORIXM
2021-07-15,17.51,17.51,17.51,17.51,1000,False,ORIXM
2021-07-16,17.51,17.84,17.51,17.83,3500,False,ORIXM
2021-07-19,17.5,17.75,17.5,17.58,47500,False,ORIXM
2021-07-23,17.6,17.8,17.3,17.8,22500,False,ORIXM
2021-07-26,17.88,17.88,17.56,17.87,7000,False,ORIXM
2021-07-27,17.87,18.1,17.6,17.7,64000,False,ORIXM
2021-07-28,17.72,17.76,17.7,17.7,14000,False,ORIXM
2021-07-29,17.7,18.05,17.7,17.99,29000,False,ORIXM
2021-07-30,18.59,18.59,17.71,17.71,1000,False,ORIXM
2021-08-02,18.2,18.2,18.0,18.0,12500,False,ORIXM
2021-08-03,17.8,18.21,17.8,18.0,11500,False,ORIXM
2021-08-04,17.81,18.14,17.7,18.1,7500,False,ORIXM
2021-08-05,18.0,18.1,17.98,18.0,9000,False,ORIXM
2021-08-06,18.18,18.18,18.0,18.0,15500,False,ORIXM
2021-08-09,18.24,18.24,18.0,18.0,14000,False,ORIXM
2021-08-10,18.0,18.18,17.77,18.18,8500,False,ORIXM
2021-08-11,17.95,18.21,17.8,17.82,20000,False,ORIXM
2021-08-12,17.63,17.9,17.6,17.9,7000,False,ORIXM
2021-08-13,18.0,18.1,17.72,18.1,11000,False,ORIXM
2021-08-16,17.95,18.13,17.91,17.91,8000,False,ORIXM
2021-08-17,18.0,18.0,17.92,18.0,67500,False,ORIXM
2021-08-20,18.0,18.0,18.0,18.0,10000,False,ORIXM
2021-08-23,18.0,18.01,17.85,17.88,27000,False,ORIXM
2021-08-24,17.9,17.9,17.85,17.85,12000,False,ORIXM
2021-08-25,17.85,17.85,17.8,17.8,18000,False,ORIXM
2021-08-26,18.02,18.02,17.83,17.88,5500,False,ORIXM
2021-08-27,17.75,17.75,17.6,17.73,25500,False,ORIXM
2021-08-30,17.96,17.98,17.73,17.85,14500,False,ORIXM
2021-08-31,17.75,18.2,17.75,18.15,64000,False,ORIXM
2021-09-01,18.15,18.34,18.1,18.17,12000,False,ORIXM
2021-09-03,18.0,18.18,17.82,17.84,5500,False,ORIXM
2021-09-06,18.07,18.15,18.07,18.15,16500,False,ORIXM
2021-09-07,18.15,18.2,17.7,17.77,26500,False,ORIXM
2021-09-08,17.99,18.0,17.77,17.77,15000,False,ORIXM
2021-09-09,17.52,18.0,17.52,17.96,13000,False,ORIXM
2021-09-10,18.0,18.0,18.0,18.0,16500,False,ORIXM
2021-09-13,18.0,18.0,18.0,18.0,5500,False,ORIXM
2021-09-14,18.0,18.99,17.56,18.88,62500,False,ORIXM
2021-09-15,18.18,18.47,18.1,18.12,44000,False,ORIXM
2021-09-16,18.5,18.57,18.16,18.27,97500,False,ORIXM
2021-09-17,18.3,18.34,18.1,18.15,66500,False,ORIXM
