date,open,high,low,close,volume,is_anomaly,ticker
2026-01-26,0.0,0.0,0.0,100.0,125000000,True,P03FRR220129
2026-01-28,98.81,98.81,98.81,98.81,5000,False,P03FRR220129
2026-01-29,99.02,99.02,99.02,99.02,1000000,False,P03FRR220129
2026-02-10,99.94,99.94,99.7,99.82,2000000,False,P03FRR220129
2026-02-12,99.31,99.31,99.31,99.31,249000000,False,P03FRR220129
2026-02-16,0.0,0.0,0.0,99.31,125000000,True,P03FRR220129
2026-02-17,99.22,99.22,99.22,99.22,5000,False,P03FRR220129
2026-02-18,99.22,99.69,99.22,99.46,10000,False,P03FRR220129
2026-03-04,97.81,97.81,97.81,97.81,25000000,False,P03FRR220129
2026-03-13,100.05,100.05,100.05,100.05,840000000,False,P03FRR220129
2026-03-17,100.05,100.05,100.05,100.05,89000000,False,P03FRR220129
2026-03-24,99.9,99.9,99.9,99.9,1000000,False,P03FRR220129
