date,open,high,low,close,volume,is_anomaly,ticker
2021-07-09,376.05,400.0,376.02,400.0,400,False,AKDHL
2021-07-12,403.0,413.0,400.0,407.05,8200,False,AKDHL
2021-07-13,390.0,390.0,390.0,390.0,200,False,AKDHL
2021-07-14,399.99,399.99,398.9,398.9,3600,False,AKDHL
2021-07-15,374.12,388.0,374.12,388.0,300,False,AKDHL
2021-07-16,371.0,417.0,360.02,409.06,6800,False,AKDHL
2021-07-19,412.0,430.0,412.0,425.0,4900,False,AKDHL
2021-07-23,447.99,456.87,435.0,442.75,4400,False,AKDHL
2021-07-26,464.49,464.49,433.0,445.0,700,False,AKDHL
2021-07-27,458.47,458.47,411.65,415.0,3500,False,AKDHL
2021-07-28,422.0,422.0,422.0,422.0,100,False,AKDHL
2021-07-29,391.01,409.9,391.0,394.14,1900,False,AKDHL
2021-08-02,405.0,423.7,405.0,423.7,9600,False,AKDHL
2021-08-03,430.0,430.0,420.01,420.01,300,False,AKDHL
2021-08-05,409.99,424.0,409.99,424.0,200,False,AKDHL
2021-08-09,427.0,428.0,427.0,427.63,2000,False,AKDHL
2021-08-11,406.0,427.0,405.0,427.0,700,False,AKDHL
2021-08-13,0.0,427.0,427.0,427.0,2000,True,AKDHL
2021-08-16,405.1,420.0,404.01,417.34,900,False,AKDHL
2021-08-20,410.0,442.0,410.0,430.0,3200,False,AKDHL
2021-08-23,440.0,442.0,434.99,435.6,2000,False,AKDHL
2021-08-24,430.0,438.0,425.0,438.0,1300,False,AKDHL
2021-08-25,411.02,435.0,411.0,425.0,3100,False,AKDHL
2021-08-26,406.02,425.0,406.0,406.0,1400,False,AKDHL
2021-08-27,0.0,406.0,406.0,406.0,200,True,AKDHL
2021-08-30,414.0,414.0,410.0,410.0,200,False,AKDHL
2021-08-31,415.0,416.0,415.0,415.37,300,False,AKDHL
2021-09-01,407.04,407.04,407.03,407.03,400,False,AKDHL
2021-09-02,404.01,404.01,376.51,379.48,9100,False,AKDHL
2021-09-03,376.0,389.9,365.0,366.98,8400,False,AKDHL
2021-09-06,365.0,367.0,365.0,367.0,3500,False,AKDHL
2021-09-08,360.01,360.01,340.05,345.75,2100,False,AKDHL
2021-09-09,345.01,371.68,340.01,370.0,4700,False,AKDHL
2021-09-10,365.01,365.01,350.01,354.99,2500,False,AKDHL
2021-09-13,359.98,374.98,355.01,360.0,6200,False,AKDHL
2021-09-14,360.0,387.0,360.0,387.0,6300,False,AKDHL
2021-09-15,394.99,416.02,394.99,407.16,12500,False,AKDHL
2021-09-16,395.01,403.99,390.0,399.59,1300,False,AKDHL
2021-09-17,400.0,404.99,385.01,391.36,3200,False,AKDHL
2021-09-20,395.01,402.99,385.0,393.58,3200,False,AKDHL
2021-09-21,404.99,423.09,400.0,422.1,5800,False,AKDHL
2021-09-22,429.0,429.0,390.51,399.99,2100,False,AKDHL
2021-09-23,400.0,400.0,370.0,370.0,1300,False,AKDHL
2021-09-24,342.25,365.0,342.25,342.25,6900,False,AKDHL
2021-09-27,330.0,340.0,330.0,340.0,200,False,AKDHL
2021-09-29,314.5,340.0,314.5,314.5,5400,False,AKDHL
2021-09-30,319.0,324.99,310.0,318.18,1600,False,AKDHL
2021-10-01,302.0,318.18,300.01,309.99,1300,False,AKDHL
2021-10-04,314.99,333.23,314.99,333.23,3000,False,AKDHL
2021-10-05,339.99,358.21,335.01,351.03,1000,False,AKDHL
2021-10-06,355.01,359.99,350.0,359.99,800,False,AKDHL
2021-10-07,364.99,386.97,364.99,386.97,5500,False,AKDHL
2021-10-08,394.99,415.99,394.99,415.64,13400,False,AKDHL
2021-10-11,428.0,434.99,401.05,404.28,6800,False,AKDHL
2021-10-12,400.01,400.01,373.96,374.6,8300,False,AKDHL
2021-10-13,360.0,380.01,355.0,371.46,10300,False,AKDHL
2021-10-14,376.99,399.31,376.99,397.0,5700,False,AKDHL
2021-10-15,400.0,423.5,400.0,416.39,6000,False,AKDHL
2021-10-18,410.01,414.89,400.01,404.19,2000,False,AKDHL
2021-10-20,402.0,404.98,395.01,404.98,1400,False,AKDHL
2021-10-22,395.01,395.01,374.61,374.61,6000,False,AKDHL
2021-10-25,370.01,374.99,370.01,374.99,200,False,AKDHL
2021-10-26,378.99,378.99,378.0,378.0,500,False,AKDHL
2021-10-27,351.51,372.99,350.0,353.57,800,False,AKDHL
2021-10-28,355.04,358.99,349.0,349.0,4500,False,AKDHL
2021-10-29,350.0,359.0,343.0,353.43,2200,False,AKDHL
2021-11-01,350.0,350.0,326.93,326.93,12500,False,AKDHL
2021-11-02,320.01,324.99,315.0,324.99,3000,False,AKDHL
2021-11-03,320.01,325.0,310.01,314.77,5700,False,AKDHL
2021-11-04,309.0,315.0,309.0,315.0,1100,False,AKDHL
2021-11-05,319.0,334.99,315.02,323.48,3700,False,AKDHL
2021-11-08,317.5,318.0,305.0,308.83,3800,False,AKDHL
2021-11-09,309.9,324.0,305.01,319.66,2200,False,AKDHL
2021-11-10,319.0,320.0,316.0,320.0,700,False,AKDHL
2021-11-11,315.05,318.0,315.05,318.0,200,False,AKDHL
2021-11-12,315.01,315.01,310.01,313.0,300,False,AKDHL
2021-11-15,314.99,317.0,310.0,310.0,1000,False,AKDHL
2021-11-17,0.0,310.0,310.0,310.0,5000,True,AKDHL
2021-11-18,313.0,313.0,310.0,313.0,5100,False,AKDHL
2021-11-19,305.1,319.85,299.0,313.94,10300,False,AKDHL
2021-11-22,310.01,310.01,310.01,310.01,100,False,AKDHL
2021-11-23,0.0,310.01,310.01,310.01,10000,True,AKDHL
2021-11-26,306.0,315.0,286.76,289.84,13000,False,AKDHL
2021-11-29,283.35,294.0,283.35,292.8,1200,False,AKDHL
2021-11-30,285.0,285.0,285.0,285.0,100,False,AKDHL
2021-12-01,290.0,299.0,290.0,294.67,300,False,AKDHL
2021-12-02,290.0,290.0,275.05,279.02,900,False,AKDHL
2021-12-03,284.8,284.98,272.25,283.2,800,False,AKDHL
2021-12-06,288.5,288.75,288.5,288.63,3600,False,AKDHL
2021-12-07,294.0,294.0,293.75,293.88,400,False,AKDHL
2021-12-08,275.0,289.99,275.0,289.87,3100,False,AKDHL
2021-12-09,275.0,285.0,275.0,285.0,300,False,AKDHL
2021-12-10,270.05,279.99,270.05,279.99,300,False,AKDHL
2021-12-13,262.75,285.0,262.0,285.0,900,False,AKDHL
2021-12-14,280.0,280.0,280.0,280.0,100,False,AKDHL
2021-12-15,288.99,289.0,280.0,280.0,700,False,AKDHL
2021-12-20,294.25,294.25,288.99,290.49,700,False,AKDHL
2021-12-21,298.99,298.99,280.01,286.3,800,False,AKDHL
2021-12-22,273.33,278.73,270.0,278.73,1300,False,AKDHL
2021-12-23,270.01,275.0,270.0,271.8,1400,False,AKDHL
2021-12-24,260.1,263.33,251.51,254.77,2700,False,AKDHL
2021-12-27,245.01,254.99,245.01,254.99,400,False,AKDHL
2021-12-28,246.0,254.99,246.0,254.99,500,False,AKDHL
2021-12-29,259.0,259.99,259.0,259.99,300,False,AKDHL
2021-12-30,264.0,269.98,240.51,257.03,2100,False,AKDHL
2021-12-31,251.0,258.1,251.0,257.32,1300,False,AKDHL
2022-01-03,250.0,256.5,250.0,256.38,1400,False,AKDHL
2022-01-04,258.99,258.99,256.38,258.99,2300,False,AKDHL
2022-01-05,255.0,255.0,239.57,241.8,6700,False,AKDHL
2022-01-06,235.01,241.8,223.67,224.48,4000,False,AKDHL
2022-01-07,220.01,229.7,210.01,228.06,5800,False,AKDHL
2022-01-10,229.98,234.99,210.96,211.62,31100,False,AKDHL
2022-01-11,206.0,216.89,200.0,216.02,22600,False,AKDHL
2022-01-12,210.05,219.9,210.05,215.95,300,False,AKDHL
2022-01-14,219.95,224.5,219.95,220.0,2200,False,AKDHL
